,frame,match_strength
17_10_giorgos.wav 17_20_nikos.wav,3289,259.0
17_10_giorgos.wav 17_20_stavros.wav,3392,261.0
17_10_giorgos.wav 17_30_dp.wav,2587,238.0
17_10_giorgos.wav 17_30_fil.wav,2196,273.0
17_10_giorgos.wav 17_30_giorgos.wav,2328,263.0
17_10_giorgos.wav 17_30_nikos.wav,2456,231.0
17_10_giorgos.wav 17_30_stavros.wav,1968,221.0
17_10_giorgos.wav 17_40_dp.wav,3418,278.0
17_10_giorgos.wav 17_40_fil.wav,2427,290.0
17_10_giorgos.wav 17_40_giorgos.wav,3525,325.0
17_10_giorgos.wav 17_40_nikos.wav,2306,329.0
17_10_giorgos.wav 17_40_stavros.wav,2797,320.0
17_10_giorgos.wav 18_10_dp.wav,2666,251.0
17_10_giorgos.wav 18_10_fil.wav,1836,283.0
17_10_giorgos.wav 18_10_giorgos.wav,2911,259.0
17_10_giorgos.wav 18_10_stavros.wav,3202,257.0
17_10_giorgos.wav 18_20_dp.wav,3528,252.0
17_10_giorgos.wav 18_20_fil.wav,2682,259.0
17_10_giorgos.wav 18_20_giorgos.wav,3508,234.0
17_10_giorgos.wav 18_20_nikos.wav,4269,274.0
17_10_giorgos.wav 18_20_stavros.wav,3810,230.0
17_10_giorgos.wav 18_30_dp.wav,3087,350.0
17_10_giorgos.wav 18_30_fil.wav,2113,224.0
17_10_giorgos.wav 18_30_giorgos.wav,2717,334.0
17_10_giorgos.wav 18_30_nikos.wav,2405,328.0
17_10_giorgos.wav 18_30_stavros.wav,2763,221.0
17_10_giorgos.wav 18_40_dp.wav,3146,258.0
17_10_giorgos.wav 18_40_fil.wav,2584,272.0
17_10_giorgos.wav 18_40_giorgos.wav,2789,362.0
17_10_giorgos.wav 18_40_nikos.wav,2550,339.0
17_10_giorgos.wav 18_40_stavros.wav,2317,238.0
17_10_giorgos.wav 18_50_dp.wav,2903,269.0
17_10_giorgos.wav 18_50_fil.wav,1859,248.0
17_10_giorgos.wav 18_50_giorgos.wav,13842,357.0
17_10_giorgos.wav 18_50_nikos.wav,2463,250.0
17_10_giorgos.wav 18_50_stavros.wav,3231,199.0
17_10_giorgos.wav 18_58_stavros.wav,2253,272.0
17_10_nikos.wav 17_10_stavros.wav,2013,475.0
17_10_nikos.wav 17_20_dp.wav,3254,333.0
17_10_nikos.wav 17_20_giorgos.wav,2562,285.0
17_10_nikos.wav 17_20_nikos.wav,3228,238.0
17_10_nikos.wav 17_20_stavros.wav,1996,247.0
17_10_nikos.wav 17_30_dp.wav,2749,218.0
17_10_nikos.wav 17_30_fil.wav,3149,202.0
17_10_nikos.wav 17_30_giorgos.wav,3027,275.0
17_10_nikos.wav 17_30_nikos.wav,3008,249.0
17_10_nikos.wav 17_30_stavros.wav,2854,265.0
17_10_nikos.wav 17_40_dp.wav,3230,352.0
17_10_nikos.wav 17_40_fil.wav,2730,298.0
17_10_nikos.wav 17_40_giorgos.wav,3220,397.0
17_10_nikos.wav 17_40_nikos.wav,2790,259.0
17_10_nikos.wav 17_40_stavros.wav,2811,272.0
17_10_nikos.wav 18_10_dp.wav,1730,239.0
17_10_nikos.wav 18_10_fil.wav,2238,225.0
17_10_nikos.wav 18_10_giorgos.wav,2854,306.0
17_10_nikos.wav 18_10_stavros.wav,2621,219.0
17_10_nikos.wav 18_20_dp.wav,3267,281.0
17_10_nikos.wav 18_20_fil.wav,2301,273.0
17_10_nikos.wav 18_20_giorgos.wav,3358,280.0
17_10_nikos.wav 18_20_nikos.wav,3529,314.0
17_10_nikos.wav 18_20_stavros.wav,2250,238.0
17_10_nikos.wav 18_30_dp.wav,2342,289.0
17_10_nikos.wav 18_30_fil.wav,2191,238.0
17_10_nikos.wav 18_30_giorgos.wav,3235,297.0
17_10_nikos.wav 18_30_nikos.wav,3816,260.0
17_10_nikos.wav 18_30_stavros.wav,3429,244.0
17_10_nikos.wav 18_40_dp.wav,2463,376.0
17_10_nikos.wav 18_40_fil.wav,1966,204.0
17_10_nikos.wav 18_40_giorgos.wav,2838,267.0
17_10_nikos.wav 18_40_nikos.wav,2368,287.0
17_10_nikos.wav 18_40_stavros.wav,1081,260.0
17_10_nikos.wav 18_50_dp.wav,2727,260.0
17_10_nikos.wav 18_50_fil.wav,1984,225.0
17_10_nikos.wav 18_50_giorgos.wav,5450,355.0
17_10_nikos.wav 18_50_nikos.wav,3248,344.0
17_10_nikos.wav 18_50_stavros.wav,1929,224.0
17_10_nikos.wav 18_58_stavros.wav,1735,260.0
17_10_stavros.wav 17_20_dp.wav,2355,197.0
17_10_stavros.wav 17_20_giorgos.wav,2959,220.0
17_10_stavros.wav 17_20_nikos.wav,2574,170.0
17_10_stavros.wav 17_20_stavros.wav,2434,171.0
17_10_stavros.wav 17_30_dp.wav,2311,163.0
17_10_stavros.wav 17_30_fil.wav,1337,204.0
17_10_stavros.wav 17_30_giorgos.wav,2056,241.0
17_10_stavros.wav 17_30_nikos.wav,1535,192.0
17_10_stavros.wav 17_30_stavros.wav,1379,176.0
17_10_stavros.wav 17_40_dp.wav,2341,245.0
17_10_stavros.wav 17_40_fil.wav,1779,202.0
17_10_stavros.wav 17_40_giorgos.wav,2421,239.0
17_10_stavros.wav 17_40_nikos.wav,1591,192.0
17_10_stavros.wav 17_40_stavros.wav,1838,237.0
17_10_stavros.wav 18_10_dp.wav,1708,189.0
17_10_stavros.wav 18_10_fil.wav,1385,208.0
17_10_stavros.wav 18_10_giorgos.wav,1725,212.0
17_10_stavros.wav 18_10_stavros.wav,1939,186.0
17_10_stavros.wav 18_20_dp.wav,1882,213.0
17_10_stavros.wav 18_20_fil.wav,1607,214.0
17_10_stavros.wav 18_20_giorgos.wav,2003,177.0
17_10_stavros.wav 18_20_nikos.wav,3220,237.0
17_10_stavros.wav 18_20_stavros.wav,1922,195.0
17_10_stavros.wav 18_30_dp.wav,1532,223.0
17_10_stavros.wav 18_30_fil.wav,2109,175.0
17_10_stavros.wav 18_30_giorgos.wav,2650,193.0
17_10_stavros.wav 18_30_nikos.wav,3645,203.0
17_10_stavros.wav 18_30_stavros.wav,1478,219.0
17_10_stavros.wav 18_40_dp.wav,1383,226.0
17_10_stavros.wav 18_40_fil.wav,2534,186.0
17_10_stavros.wav 18_40_giorgos.wav,2550,245.0
17_10_stavros.wav 18_40_nikos.wav,2468,257.0
17_10_stavros.wav 18_40_stavros.wav,1955,199.0
17_10_stavros.wav 18_50_dp.wav,1780,181.0
17_10_stavros.wav 18_50_fil.wav,1440,171.0
17_10_stavros.wav 18_50_giorgos.wav,3625,267.0
17_10_stavros.wav 18_50_nikos.wav,1981,201.0
